ts,p,r,s,q,n,x,y
80,false,false,false,false,false,false,true
81,true,false,false,false,true,false,true
82,false,false,true,false,false,false,true
83,false,true,false,false,false,false,true
84,false,false,false,true,false,false,true
85,false,false,true,false,false,false,false
86,false,true,false,false,false,false,false
87,true,false,false,false,false,false,true
88,false,false,true,false,true,false,true
89,false,true,false,false,false,false,false
90,false,false,false,false,true,false,true
91,false,false,true,true,false,true,true
92,false,true,false,false,false,false,true
93,false,false,false,false,false,false,true
94,false,false,false,false,false,false,true
95,false,false,true,false,true,false,true
96,true,true,false,false,true,false,true
97,false,false,false,false,false,false,true
98,false,false,false,true,false,false,false
99,false,false,false,false,false,false,false
100,true,false,true,false,false,false,true
101,false,true,false,false,false,false,true
102,false,false,false,false,false,false,false
103,false,false,false,false,true,false,false
104,false,false,true,false,false,true,true
105,false,true,false,true,false,false,true
106,false,false,false,false,false,false,true
107,true,false,false,false,false,false,true
108,true,false,false,false,false,false,true
109,false,false,true,false,true,false,true
110,false,true,false,false,true,false,true
111,false,false,false,false,false,false,false
112,false,false,false,true,false,false,false
113,false,false,false,false,false,false,false
114,true,false,true,false,false,false,true
115,false,true,false,false,false,false,true
116,false,false,false,false,true,false,false
117,false,false,true,false,false,true,true
118,false,true,false,false,true,false,true
119,false,false,false,true,false,false,true
120,false,false,false,false,false,false,true
121,false,false,true,false,false,false,true
122,false,true,false,false,false,false,true
123,true,false,false,false,true,false,true
124,false,false,true,false,false,false,true
125,false,true,false,false,true,false,false
126,false,false,false,true,false,false,false
127,true,false,false,false,false,false,true
128,false,false,true,false,false,false,true
129,false,true,false,false,false,false,false
130,false,false,false,false,false,true,true
131,false,false,false,false,false,false,true
132,false,false,true,false,true,false,true
133,false,true,false,true,false,false,true
134,false,false,false,false,false,false,true
135,false,false,false,false,false,false,true
136,true,false,false,false,false,false,true
137,true,false,true,false,true,false,true
138,false,true,false,false,true,false,false
139,false,false,false,false,false,false,true
140,false,false,false,true,false,false,false
141,false,false,true,false,false,false,true
142,false,true,false,false,false,false,false
143,false,false,false,false,false,true,true
144,false,false,false,false,false,false,true
145,false,false,true,false,false,false,true
146,true,true,false,false,false,false,true
147,false,false,false,true,false,false,true
148,false,false,false,false,false,false,true
149,false,false,true,false,false,false,true
150,false,true,false,false,false,false,true
151,false,false,false,false,true,false,false
152,true,false,true,false,false,false,false
153,false,true,false,false,true,false,true
154,false,false,false,true,false,false,true
155,false,false,false,false,false,false,true
156,false,false,true,false,false,true,true
157,false,true,false,false,false,false,true
158,false,false,false,false,true,false,true
159,true,false,true,false,false,false,true
160,false,true,false,false,false,false,true
161,false,false,false,true,false,false,true
162,false,false,false,false,false,false,true
163,true,false,true,false,false,false,false
164,false,true,false,false,false,false,true
165,false,false,false,false,true,false,false
166,true,false,true,false,true,false,false
167,false,true,false,false,false,false,true
168,true,false,false,true,false,false,true
169,true,false,false,false,false,true,true
170,false,false,true,false,false,false,true
171,false,true,false,false,false,false,true
172,false,false,false,false,true,false,true
173,false,false,false,false,true,false,true
174,false,false,false,false,false,false,true
175,false,false,true,true,false,false,true
176,false,true,false,false,false,false,true
177,true,false,false,false,false,false,true
178,false,false,true,false,false,false,true
179,false,true,false,false,true,false,true
180,false,false,false,false,false,false,false
181,false,false,false,false,true,false,true
182,false,false,true,true,false,true,true
183,false,true,false,false,false,false,true
184,false,false,false,false,false,false,true
185,true,false,false,false,false,false,true
186,false,false,true,false,false,false,true
187,false,true,false,false,false,false,true
188,false,false,false,false,true,false,true
189,false,false,false,true,false,false,false
190,false,false,false,false,false,false,false
191,false,false,true,false,false,false,true
192,false,true,false,false,false,false,false
193,false,false,false,false,false,false,false
194,true,false,true,false,false,false,false
195,false,true,false,false,false,true,true
196,false,false,false,true,false,false,true
197,false,false,false,false,false,false,true
198,false,false,true,false,false,false,true
199,true,true,false,false,false,false,true
200,false,false,false,false,false,false,true
201,false,false,false,false,true,false,true
202,false,false,true,false,true,false,true
203,false,true,false,true,false,false,true
204,false,false,false,false,false,false,true
205,false,false,false,false,false,false,false
206,true,false,false,false,false,false,false
207,true,false,true,false,true,false,false
208,false,true,false,false,false,true,true
209,true,false,false,false,true,false,true
210,false,false,false,true,false,false,true
211,false,false,true,false,false,false,true
212,false,true,false,false,false,false,true
213,false,false,false,false,false,false,true
214,false,false,false,false,false,false,true
215,false,false,true,false,false,false,false
216,false,true,false,false,true,false,false
217,true,false,false,true,false,false,false
218,false,false,true,false,false,false,false
219,false,true,false,false,false,false,true
220,false,false,false,false,false,false,true
221,false,false,false,false,true,true,true
222,false,false,false,false,false,false,true
223,false,false,true,false,true,false,true
224,true,true,false,true,false,false,true
225,false,false,false,false,false,false,true
226,false,false,false,false,false,false,true
227,false,false,true,false,false,false,true
228,false,true,false,false,false,false,true
229,false,false,false,false,true,false,true
230,false,false,false,false,false,false,true
231,true,false,true,true,false,false,false
232,false,true,false,false,false,false,true
233,false,false,false,false,false,false,false
234,false,false,false,false,false,true,true
235,false,false,true,false,true,false,true
236,false,true,false,false,false,false,true
237,false,false,false,false,true,false,true
238,false,false,false,true,false,false,true
239,true,false,false,false,false,false,true
240,false,false,true,false,false,false,true
241,false,true,false,false,false,false,true
242,false,false,false,false,false,false,true
243,false,false,false,false,false,false,true
244,true,false,false,false,false,false,true
245,false,false,true,true,false,false,true
246,false,true,false,false,false,false,true
247,false,false,false,false,false,true,true
248,true,false,true,false,false,false,true
249,false,true,false,false,false,false,true
250,false,false,false,false,false,false,true
251,false,false,false,false,false,false,true
252,false,false,false,true,false,false,true
253,false,false,true,false,false,false,true
254,false,true,false,false,false,false,false
255,false,false,false,false,false,false,false
256,false,false,false,false,true,false,true
257,false,false,false,false,false,false,true
258,true,false,true,false,false,false,true
259,false,true,false,true,false,false,true
260,false,false,false,false,false,true,true
261,false,false,false,false,false,false,true
262,false,false,false,false,false,false,true
263,false,false,true,false,false,false,true
264,true,true,false,false,true,false,true
265,false,false,false,false,true,false,true
266,false,false,true,true,false,false,true
267,false,true,false,false,false,false,true
268,false,false,false,false,false,false,false
269,false,false,true,false,false,false,false
270,false,true,false,false,true,false,false
271,false,false,false,false,false,false,true
272,false,false,true,false,true,false,false
273,true,true,false,true,false,true,true
274,false,false,false,false,false,false,true
275,true,false,false,false,false,false,true
276,false,false,true,false,false,false,true
277,false,true,false,false,true,false,true
278,false,false,false,false,true,false,true
279,false,false,false,false,false,false,true
280,false,false,false,true,false,false,true
281,false,false,true,false,false,false,true
282,true,true,false,false,false,false,true
283,false,false,false,false,false,false,true
284,false,false,false,false,true,false,false
285,true,false,false,false,false,false,false
286,false,false,true,false,true,true,true
287,false,true,false,true,false,false,true
288,false,false,false,false,false,false,true
289,false,false,false,false,false,false,true
290,false,false,true,false,false,false,true
291,false,true,false,false,false,false,true
292,false,false,false,false,false,false,true
293,true,false,false,false,false,false,true
294,true,false,true,true,false,false,false
295,true,true,false,false,false,false,false
296,false,false,false,false,false,false,false
297,true,false,false,false,false,false,true
298,false,false,false,false,false,false,false
299,false,false,true,false,true,true,true
300,false,true,false,false,true,false,true
301,false,false,false,true,false,false,true
302,true,false,true,false,false,false,true
303,false,true,false,false,false,false,true
304,false,false,false,false,false,false,true
305,false,false,false,false,true,false,true
306,false,false,true,false,true,false,true
307,false,true,false,false,true,false,true
308,false,false,false,true,false,false,false
309,false,false,true,false,false,false,false
310,false,true,false,false,false,false,false
311,true,false,false,false,false,false,false
312,false,false,false,false,true,true,true
313,false,false,false,false,false,false,true
314,false,false,true,false,false,false,true
315,false,true,false,true,false,false,true
316,false,false,false,false,false,false,true
317,true,false,true,false,false,false,true
318,true,true,false,false,false,false,true
319,false,false,false,false,false,false,true
320,false,false,true,false,false,false,true
321,false,true,false,false,true,false,true
322,false,false,false,true,false,false,false
323,false,false,false,false,false,false,false
324,false,false,false,false,false,false,true
325,true,false,true,false,false,true,true
326,false,true,false,false,false,false,true
327,false,false,false,false,true,false,true
328,false,false,false,false,true,false,true
329,true,false,true,true,false,false,true
330,false,true,false,false,false,false,true
331,false,false,false,false,false,false,true
332,false,false,false,false,false,false,true
333,true,false,false,false,true,false,false
334,false,false,true,false,true,false,false
335,false,true,false,false,false,false,false
336,false,false,false,true,false,false,false
337,false,false,false,false,false,false,false
338,false,false,false,false,false,true,true
339,false,false,true,false,false,false,true
340,false,true,false,false,false,false,true
341,false,false,false,false,true,false,true
342,false,false,false,false,true,false,true
343,true,false,false,true,false,false,true
344,false,false,true,false,false,false,true
345,false,true,false,false,false,false,false
346,false,false,false,false,false,false,false
347,false,false,false,false,true,false,true
348,false,false,false,false,false,false,true
349,true,false,true,false,false,false,true
350,false,true,false,true,false,false,false
351,true,false,false,false,false,true,true
352,false,false,false,false,false,false,true
353,false,false,false,false,false,false,true
354,true,false,true,false,false,false,true
355,false,true,false,false,false,false,true
356,false,false,false,false,false,false,true
357,false,false,true,true,false,false,true
358,false,true,false,false,false,false,true
359,false,false,false,false,false,false,false
360,false,false,true,false,false,false,true
361,true,true,false,false,false,false,true
362,false,false,false,false,true,false,true
363,true,false,false,false,false,false,true
364,false,false,false,true,false,true,true
365,false,false,true,false,false,false,true
366,false,true,false,false,false,false,true
367,false,false,false,false,false,false,true
368,false,false,false,false,true,false,true
369,false,false,true,false,false,false,true
370,false,true,false,false,false,false,true
371,true,false,false,true,false,false,false
372,false,false,false,false,false,false,false
373,false,false,true,false,false,false,false
374,false,true,false,false,false,false,true
375,false,false,false,false,true,false,true
376,false,false,true,false,false,false,false
377,true,true,false,false,false,true,true
378,false,false,false,true,false,false,true
379,false,false,false,false,false,false,true
380,false,false,true,false,false,false,true
381,true,true,false,false,false,false,true
382,false,false,false,false,false,false,true
383,false,false,true,false,false,false,true
384,true,true,false,false,false,false,true
385,false,false,false,true,false,false,false
386,false,false,true,false,false,false,true
387,false,true,false,false,false,false,false
388,false,false,false,false,false,false,false
389,false,false,false,false,true,false,false
390,false,false,true,false,false,true,true
391,false,true,false,false,false,false,true
392,true,false,false,true,false,false,true
393,false,false,false,false,false,false,true
394,false,false,true,false,false,false,true
395,false,true,false,false,false,false,true
396,true,false,false,false,false,false,true
397,false,false,false,false,true,false,false
398,false,false,false,false,false,false,true
399,false,false,true,true,false,false,false
400,false,true,false,false,false,false,true
401,false,false,false,false,false,false,false
402,false,false,false,false,false,false,true
403,false,false,false,false,true,true,true
404,true,false,true,false,true,false,true
405,false,true,false,false,true,false,true
406,false,false,false,true,false,false,true
407,false,false,true,false,false,false,true
408,false,true,false,false,false,false,true
409,false,false,false,false,false,false,true
410,false,false,true,false,false,false,true
411,false,true,false,false,true,false,true
412,false,false,false,false,true,false,false
413,false,false,false,true,false,false,false
414,true,false,false,false,false,false,false
415,false,false,true,false,false,false,false
416,false,true,false,false,false,true,true
417,true,false,false,false,true,false,true
418,false,false,false,false,false,false,true
419,false,false,true,false,false,false,true
420,true,true,false,true,false,false,true
421,false,false,false,false,false,false,true
422,false,false,false,false,false,false,true
423,false,false,false,false,false,false,false
424,false,false,true,false,true,false,false
425,false,true,false,false,true,false,false
426,false,false,false,false,false,false,true
427,false,false,true,true,false,false,true
428,false,true,false,false,false,false,false
429,false,false,false,false,false,true,true
430,true,false,true,false,false,false,true
431,false,true,false,false,true,false,true
432,false,false,false,false,false,false,true
433,false,false,true,false,false,false,true
434,false,true,false,true,false,false,true
435,false,false,false,false,false,false,true
436,true,false,true,false,false,false,false
437,true,true,false,false,false,false,true
438,false,false,false,false,true,false,false
439,true,false,true,false,false,false,false
440,false,true,false,false,true,false,false
441,false,false,false,true,false,false,false
442,false,false,true,false,false,true,true
443,false,true,false,false,false,false,true
444,false,false,false,false,false,false,true
445,false,false,true,false,false,false,true
446,false,true,false,false,false,false,true
447,false,false,false,false,true,false,true
448,false,false,false,true,false,false,true
449,true,false,true,false,false,false,false
450,false,true,false,false,false,false,false
451,false,false,false,false,false,false,false
452,false,false,true,false,false,false,false
453,false,true,false,false,false,false,false
454,false,false,false,false,true,false,false
455,false,false,true,true,false,true,true
456,false,true,false,false,false,false,true
457,false,false,false,false,false,false,true
458,false,false,true,false,false,false,true
459,true,true,false,false,true,false,true
460,true,false,false,false,true,false,true
461,false,false,false,false,true,false,true
462,false,false,true,true,false,false,true
463,true,true,false,false,false,false,false
464,false,false,false,false,false,false,true
465,true,false,false,false,false,false,false
466,false,false,true,false,true,false,false
467,false,true,false,false,false,false,true
468,false,false,false,false,true,true,true
469,false,false,false,true,false,false,true
470,false,false,false,false,false,false,true
471,true,false,true,false,false,false,true
472,false,true,false,false,false,false,true
473,false,false,false,false,false,false,true
474,false,false,true,false,false,false,true
475,false,true,false,false,true,false,true
476,false,false,false,true,false,false,true
477,false,false,false,false,false,false,true
478,false,false,true,false,false,false,true
479,true,true,false,false,false,false,true
480,false,false,false,false,true,false,true
481,true,false,false,false,false,true,true
482,true,false,true,false,false,false,true
483,false,true,false,true,false,false,true
484,false,false,false,false,false,false,true
485,false,false,false,false,false,false,true
486,true,false,true,false,false,false,true
487,false,true,false,false,false,false,true
488,true,false,false,false,false,false,false
489,true,false,false,false,false,false,false
490,false,false,false,true,false,false,false
491,false,false,true,false,false,false,true
492,false,true,false,false,false,false,true
493,false,false,false,false,false,false,false
494,true,false,true,false,false,true,true
495,true,true,false,false,false,false,true
496,false,false,false,false,true,false,true
497,false,false,true,true,false,false,true
498,false,true,false,false,false,false,true
499,false,false,false,false,false,false,true
500,false,false,true,false,false,false,true
501,false,true,false,false,false,false,true
502,false,false,false,false,false,false,true
503,false,false,true,false,true,false,true
504,true,true,false,true,false,false,true
505,false,false,false,false,false,false,true
506,true,false,true,false,false,false,false
507,false,true,false,false,false,true,true
508,false,false,false,false,false,false,true
509,false,false,false,false,true,false,true
510,false,false,false,false,false,false,true
511,false,false,true,true,false,false,true
512,true,true,false,false,false,false,true
513,false,false,false,false,false,false,true
514,false,false,false,false,false,false,false
515,false,false,true,false,true,false,false
516,false,true,false,false,true,false,false
517,false,false,false,false,false,false,true
518,false,false,false,true,false,false,true
519,false,false,false,false,false,false,false
520,false,false,true,false,false,true,true
521,true,true,false,false,false,false,true
522,false,false,false,false,false,false,true
523,false,false,false,false,true,false,true
524,false,false,false,false,false,false,true
525,false,false,true,true,false,false,true
526,false,true,false,false,false,false,true
527,true,false,false,false,false,false,true
528,false,false,false,false,false,false,true
529,false,false,true,false,false,false,true
530,false,true,false,false,false,false,false
531,false,false,false,false,true,false,true
532,false,false,true,true,false,false,false
533,false,true,false,false,false,true,true
534,false,false,false,false,false,false,true
535,true,false,false,false,false,false,true
536,false,false,false,false,true,false,true
537,true,false,true,false,true,false,true
538,false,true,false,false,true,false,true
539,false,false,false,true,false,false,true
540,false,false,true,false,false,false,false
541,false,true,false,false,false,false,true
542,false,false,false,false,false,false,false
543,false,false,false,false,false,false,false
544,false,false,true,false,false,false,true
545,false,true,false,false,true,false,false
546,true,false,false,true,false,true,true
547,false,false,false,false,false,false,true
548,false,false,false,false,false,false,true
549,false,false,true,false,false,false,true
550,false,true,false,false,true,false,true
551,true,false,false,false,true,false,true
552,false,false,false,false,false,false,true
553,false,false,false,true,false,false,true
554,false,false,true,false,false,false,false
555,false,true,false,false,false,false,true
556,false,false,false,false,false,false,false
557,false,false,true,false,false,false,false
558,false,true,false,false,true,false,true
559,true,false,false,false,true,true,true
560,false,false,false,true,false,false,true
561,false,false,false,false,false,false,true
562,false,false,true,false,false,false,true
563,false,true,false,false,false,false,true
564,false,false,false,false,false,false,true
565,false,false,true,false,true,false,true
566,false,true,false,false,true,false,true
567,true,false,false,true,false,false,false
568,false,false,false,false,false,false,true
569,false,false,true,false,false,false,false
570,false,true,false,false,false,false,false
571,false,false,false,false,true,false,false
572,false,false,false,false,false,true,true
573,false,false,false,false,true,false,true
574,false,false,true,true,false,false,true
575,false,true,false,false,false,false,true
576,true,false,false,false,false,false,true
577,false,false,true,false,false,false,true
578,false,true,false,false,false,false,true
579,true,false,false,false,false,false,true
580,false,false,true,false,true,false,true
581,false,true,false,true,false,false,true
582,false,false,false,false,false,false,false
583,false,false,false,false,false,false,false
584,false,false,false,false,false,false,false
585,false,false,true,false,true,true,true
586,false,true,false,false,false,false,true
587,false,false,false,false,false,false,true
588,false,false,false,true,false,false,true
589,true,false,true,false,false,false,true
590,false,true,false,false,false,false,true
591,false,false,false,false,false,false,true
592,true,false,false,false,false,false,true
593,false,false,true,false,true,false,true
594,false,true,false,false,false,false,true
595,true,false,false,true,false,false,false
596,false,false,true,false,false,false,true
597,false,true,false,false,false,false,false
598,false,false,false,false,false,true,true
599,false,false,true,false,false,false,true
600,false,true,false,false,true,false,true
601,true,false,false,false,true,false,true
602,false,false,true,true,false,false,true
603,false,true,false,false,false,false,true
604,false,false,false,false,false,false,true
605,false,false,true,false,false,false,true
606,false,true,false,false,true,false,true
607,false,false,false,false,false,false,false
608,false,false,false,false,true,false,true
609,false,false,false,true,false,false,true
610,false,false,true,false,false,false,true
611,true,true,false,false,false,true,true
612,false,false,false,false,false,false,true
613,false,false,false,false,true,false,true
614,false,false,true,false,false,false,true
615,false,true,false,false,false,false,true
616,true,false,false,true,false,false,true
617,false,false,true,false,false,false,true
618,false,true,false,false,false,false,true
619,false,false,false,false,false,false,true
620,false,false,true,false,true,false,true
621,false,true,false,false,false,false,true
622,false,false,false,false,true,false,false
623,false,false,true,true,false,false,true
624,true,true,false,false,false,true,true
625,false,false,false,false,false,false,true
626,false,false,false,false,false,false,true
627,true,false,true,false,false,false,true
628,false,true,false,false,false,false,true
629,false,false,false,false,false,false,true
630,false,false,true,true,false,false,true
631,false,true,false,false,false,false,true
632,true,false,false,false,false,false,false
633,false,false,true,false,false,false,true
634,false,true,false,false,true,false,true
635,false,false,false,false,true,false,false
636,false,false,false,false,false,false,true
637,false,false,false,true,false,true,true
638,false,false,true,false,false,false,true
639,false,true,false,false,false,false,true
640,true,false,false,false,false,false,true
641,true,false,false,false,false,false,true
642,false,false,true,false,true,false,true
643,false,true,false,false,false,false,true
644,false,false,false,true,false,false,true
645,true,false,true,false,false,false,true
646,false,true,false,false,false,false,true
647,false,false,false,false,false,false,true
648,false,false,false,false,false,false,false
649,false,false,true,false,false,false,false
650,false,true,false,false,false,true,true
651,false,false,false,true,false,false,true
652,false,false,true,false,false,false,true
653,false,true,false,false,false,false,true
654,false,false,false,false,false,false,true
655,true,false,true,false,false,false,true
656,false,true,false,false,true,false,true
657,false,false,false,false,true,false,false
658,true,false,false,true,false,false,true
659,true,false,true,false,false,false,false
660,false,true,false,false,false,false,true
661,false,false,false,false,false,false,true
662,false,false,true,false,true,false,false
663,false,true,false,false,false,true,true
664,false,false,false,false,false,false,true
665,false,false,false,true,false,false,true
666,false,false,false,false,false,false,true
667,true,false,true,false,false,false,true
668,false,true,false,false,false,false,true
669,false,false,false,false,false,false,true
670,false,false,true,false,true,false,false
671,false,true,false,false,true,false,true
672,false,false,false,true,false,false,true
673,false,false,false,false,false,false,true
674,false,false,false,false,false,false,true
675,false,false,true,false,false,false,true
676,false,true,false,false,true,true,true
677,true,false,false,false,true,false,true
678,false,false,false,false,true,false,true
679,false,false,true,true,false,false,true
680,false,true,false,false,false,false,true
681,false,false,false,false,false,false,true
682,true,false,true,false,false,false,true
683,false,true,false,false,false,false,false
684,false,false,false,false,true,false,true
685,false,false,false,false,false,false,true
686,true,false,false,true,false,false,true
687,false,false,true,false,false,false,true
688,false,true,false,false,false,false,true
689,false,false,false,false,false,true,true
690,false,false,false,false,false,false,true
691,false,false,true,false,true,false,true
692,false,true,false,false,false,false,true
693,false,false,false,true,false,false,true
694,true,false,false,false,false,false,true
695,false,false,true,false,false,false,true
696,false,true,false,false,false,false,false
697,false,false,false,false,false,false,false
698,false,false,true,false,false,false,false
699,false,true,false,false,false,false,false
700,false,false,false,true,false,false,true
701,false,false,false,false,false,false,false
702,false,false,true,false,false,true,true
703,false,true,false,false,false,false,true
704,true,false,false,false,true,false,true
705,false,false,false,false,false,false,true
706,false,false,true,false,true,false,true
707,false,true,false,true,false,false,true
708,false,false,false,false,false,false,true
709,true,false,true,false,false,false,true
710,false,true,false,false,false,false,false
711,false,false,false,false,true,false,false
712,false,false,false,false,false,false,false
713,false,false,true,false,false,false,true
714,false,true,false,true,false,false,false
715,false,false,false,false,false,true,true
716,false,false,false,false,false,false,true
717,false,false,true,false,false,false,true
718,true,true,false,false,true,false,true
719,false,false,false,false,false,false,true
720,false,false,false,false,false,false,true
721,false,false,true,true,false,false,true
722,false,true,false,false,false,false,true
723,true,false,false,false,false,false,true
724,false,false,false,false,false,false,false
725,false,false,true,false,false,false,true
726,false,true,false,false,true,false,true
727,false,false,false,false,false,false,false
728,true,false,false,true,false,true,true
729,false,false,true,false,false,false,true
730,false,true,false,false,false,false,true
731,false,false,false,false,false,false,true
732,false,false,false,false,false,false,true
733,false,false,true,false,false,false,true
734,false,true,false,false,true,false,true
735,false,false,false,true,false,false,true
736,false,false,true,false,false,false,true
737,false,true,false,false,false,false,true
738,true,false,false,false,false,false,false
739,false,false,true,false,true,false,true
740,false,true,false,false,true,false,false
741,false,false,false,false,false,true,true
742,false,false,false,true,false,false,true
743,false,false,true,false,false,false,true
744,false,true,false,false,false,false,true
745,false,false,false,false,false,false,true
746,false,false,true,false,false,false,true
747,true,true,false,false,true,false,true
748,false,false,false,false,true,false,false
749,false,false,false,true,false,false,false
750,false,false,true,false,false,false,true
751,false,true,false,false,false,false,true
752,false,false,false,false,false,false,true
753,false,false,true,false,false,false,false
754,false,true,false,false,false,true,true
755,false,false,false,false,true,false,true
756,false,false,false,true,false,false,true
757,true,false,true,false,false,false,true
758,false,true,false,false,false,false,true
759,false,false,false,false,false,false,true
760,false,false,false,false,true,false,true
761,false,false,true,false,false,false,false
762,false,true,false,false,false,false,true
763,false,false,false,true,false,false,false
764,false,false,false,false,false,false,false
765,true,false,false,false,false,false,true
766,false,false,true,false,false,false,false
767,true,true,false,false,true,true,true
768,false,false,false,false,true,false,true
769,false,false,false,false,true,false,true
770,false,false,false,true,false,false,true
771,true,false,true,false,false,false,true
772,false,true,false,false,false,false,true
773,false,false,false,false,false,false,true
774,false,false,false,false,true,false,false
775,false,false,false,false,true,false,false
776,false,false,true,false,false,false,true
777,false,true,false,true,false,false,true
778,true,false,false,false,false,false,true
779,false,false,false,false,false,false,false
780,false,false,false,false,false,true,true
781,false,false,true,false,false,false,true
782,false,true,false,false,true,false,true
783,false,false,false,false,false,false,true
784,true,false,false,true,false,false,true
785,true,false,true,false,false,false,true
786,false,true,false,false,false,false,true
787,false,false,false,false,false,false,false
788,false,false,false,false,true,false,true
789,false,false,false,false,false,false,true
790,false,false,true,false,false,false,false
791,false,true,false,true,false,false,true
792,false,false,false,false,false,false,false
793,false,false,true,false,false,true,true
794,true,true,false,false,false,false,true
795,false,false,false,false,true,false,true
796,false,false,false,false,false,false,true
797,false,false,true,false,true,false,true
798,true,true,false,true,false,false,true
799,false,false,false,false,false,false,true
800,false,false,true,false,false,false,false
801,false,true,false,false,false,false,false
802,false,false,false,false,true,false,true
803,false,false,true,false,true,false,false
804,true,true,false,false,true,false,true
805,false,false,false,true,false,false,true
806,false,false,false,false,false,true,true
807,true,false,true,false,false,false,true
808,true,true,false,false,false,false,true
809,false,false,false,false,true,false,true
810,false,false,true,false,false,false,true
811,false,true,false,false,true,false,true
812,false,false,false,true,false,false,true
813,false,false,false,false,false,false,false
814,false,false,false,false,false,false,false
815,false,false,true,false,false,false,true
816,false,true,false,false,true,false,true
817,true,false,false,false,true,false,false
818,false,false,false,false,true,false,false
819,false,false,false,true,false,true,true
820,true,false,true,false,false,false,true
821,false,true,false,false,false,false,true
822,false,false,false,false,false,false,true
823,false,false,true,false,true,false,true
824,true,true,false,false,true,false,true
825,false,false,false,false,false,false,true
826,false,false,true,true,false,false,true
827,false,true,false,false,false,false,true
828,false,false,false,false,false,false,false
829,false,false,true,false,false,false,false
830,false,true,false,false,false,false,true
831,false,false,false,false,false,false,true
832,true,false,false,false,true,true,true
833,false,false,false,true,false,false,true
834,false,false,true,false,false,false,true
835,false,true,false,false,false,false,true
836,false,false,false,false,false,false,true
837,false,false,true,false,true,false,true
838,false,true,false,false,true,false,true
839,false,false,false,false,true,false,true
840,true,false,true,true,false,false,true
841,false,true,false,false,false,false,false
842,false,false,false,false,false,false,true
843,false,false,false,false,false,false,true
844,false,false,true,false,false,false,false
845,false,true,false,false,true,true,true
846,false,false,false,false,true,false,true
847,false,false,false,true,false,false,true
848,false,false,false,false,false,false,true
849,false,false,true,false,false,false,true
850,true,true,false,false,false,false,true
851,false,false,false,false,false,false,true
852,true,false,false,false,true,false,false
853,false,false,true,false,false,false,true
854,true,true,false,true,false,false,true
855,true,false,false,false,false,false,true
856,false,false,false,false,false,false,false
857,false,false,false,false,false,false,true
858,false,false,true,false,false,true,true
859,false,true,false,false,true,false,true
860,false,false,false,false,false,false,true
861,false,false,false,true,false,false,true
862,false,false,false,false,false,false,true
863,false,false,true,false,false,false,true
864,true,true,false,false,false,false,true
865,false,false,false,false,false,false,true
866,false,false,false,false,false,false,false
867,false,false,true,false,false,false,false
868,true,true,false,true,false,false,true
869,false,false,false,false,false,false,false
870,false,false,false,false,false,false,false
871,true,false,false,false,false,true,true
